hri_value,max_temp_celsius,min_temp_celsius,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,overall_homeless,unsheltered_homeless
75,34.4,7.8,0.127143061,0.061154306,71354.25,50970442,67013,26627
126,35,13.9,0.127143061,0.061154306,71354.25,50970442,67013,26627
254,37.2,14.4,0.127143061,0.061154306,71354.25,50970442,67013,26627
225,36.1,18.9,0.127143061,0.061154306,71354.25,50970442,67013,26627
143,35,16.1,0.127143061,0.061154306,71354.25,50970442,67013,26627
266,36.7,18.3,0.127143061,0.061154306,71354.25,50970442,67013,26627
232,36.1,17.2,0.127143061,0.061154306,71354.25,50970442,67013,26627
293,36.1,21.1,0.127143061,0.061154306,71354.25,50970442,67013,26627
340,37.2,20,0.127143061,0.061154306,71354.25,50970442,67013,26627
363,37.2,17.8,0.127143061,0.061154306,71354.25,50970442,67013,26627
266,36.7,19.4,0.127143061,0.061154306,71354.25,50970442,67013,26627
264,37.2,18.9,0.127143061,0.061154306,71354.25,50970442,67013,26627
22,22.8,-12.7,0.127143061,0.061154306,71354.25,50970442,67013,26627
25,25,-4.9,0.127143061,0.061154306,71354.25,50970442,67013,26627
27,23.9,-3.8,0.127143061,0.061154306,71354.25,50970442,67013,26627
28,25,-6.6,0.127143061,0.061154306,71354.25,50970442,67013,26627
28,28.3,0,0.127143061,0.061154306,71354.25,50970442,67013,26627
37,29.4,-1.6,0.127143061,0.061154306,71354.25,50970442,67013,26627
37,30,3.9,0.127143061,0.061154306,71354.25,50970442,67013,26627
35,27.8,-2.1,0.127143061,0.061154306,71354.25,50970442,67013,26627
43,30.6,2.8,0.127143061,0.061154306,71354.25,50970442,67013,26627
